IRI	Label	Issue
http://purl.obolibrary.org/obo/OPMI_0000069	executed in	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000171	has question	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000185	form generated by	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000186	has answer	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000301	has exclusion question	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000305	has inclusion question	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000366	has process quality	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000424	has sex-specific susceptibility to	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000438	has increased susceptibility compared to male to	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000439	has increased susceptibility compared to female to	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000440	has increased sex-specific susceptibility compared to sex baseline to	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000216	has digit number	not an RO property
http://purl.obolibrary.org/obo/OPMI_0000306	quality measured by year	not an RO property
