IRI	Label	Issue
http://purl.obolibrary.org/obo/omp#contains	contains	shares label with http://purl.obolibrary.org/obo/RO_0001019
http://purl.obolibrary.org/obo/omp#has_functional_parent	has functional parent	shares label with http://purl.obolibrary.org/obo/RO_0018038
http://purl.obolibrary.org/obo/omp#has_parent_hydride	has parent hydride	shares label with http://purl.obolibrary.org/obo/RO_0018040
http://purl.obolibrary.org/obo/omp#is_enantiomer_of	is enantiomer of	shares label with http://purl.obolibrary.org/obo/RO_0018039
http://purl.obolibrary.org/obo/omp#is_tautomer_of	is tautomer of	shares label with http://purl.obolibrary.org/obo/RO_0018036
http://purl.obolibrary.org/obo/omp#overlaps	overlaps	shares label with http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/omp#adjacent_to	adjacent_to	not an RO property
http://purl.obolibrary.org/obo/omp#correlates_with	correlates_with	not an RO property
http://purl.obolibrary.org/obo/omp#decreased_in_magnitude_relative_to	decreased_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/omp#derives_from	derives_from	not an RO property
http://purl.obolibrary.org/obo/omp#different_in_magnitude_relative_to	different_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/omp#directly_associated_with	directly_associated_with	not an RO property
http://purl.obolibrary.org/obo/omp#has_cross_section	has_cross_section	not an RO property
http://purl.obolibrary.org/obo/omp#has_dividend_entity	has_dividend_entity	not an RO property
http://purl.obolibrary.org/obo/omp#has_dividend_quality	has_dividend_quality	not an RO property
http://purl.obolibrary.org/obo/omp#has_divisor_entity	has_divisor_entity	not an RO property
http://purl.obolibrary.org/obo/omp#has_divisor_quality	has_divisor_quality	not an RO property
http://purl.obolibrary.org/obo/omp#has_origin	has_origin	not an RO property
http://purl.obolibrary.org/obo/omp#has_quality	has_quality	not an RO property
http://purl.obolibrary.org/obo/omp#has_ratio_quality	has_ratio_quality	not an RO property
http://purl.obolibrary.org/obo/omp#increased_in_magnitude_relative_to	increased_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/omp#inversely_associated_with	inversely_associated_with	not an RO property
http://purl.obolibrary.org/obo/omp#is_conjugate_acid_of	is conjugate acid of	not an RO property
http://purl.obolibrary.org/obo/omp#is_conjugate_base_of	is conjugate base of	not an RO property
http://purl.obolibrary.org/obo/omp#is_magnitude_of	is_magnitude_of	not an RO property
http://purl.obolibrary.org/obo/omp#is_measurement_of	is_measurement_of	not an RO property
http://purl.obolibrary.org/obo/omp#is_substituent_group_from	is substituent group from	not an RO property
http://purl.obolibrary.org/obo/omp#is_unit_of	is_unit_of	not an RO property
http://purl.obolibrary.org/obo/omp#member_of	member_of	not an RO property
http://purl.obolibrary.org/obo/omp#non_functional_homolog_of	non_functional_homolog_of	not an RO property
http://purl.obolibrary.org/obo/omp#qualifier	qualifier	not an RO property
http://purl.obolibrary.org/obo/omp#realized_by	realized_by	not an RO property
http://purl.obolibrary.org/obo/omp#reciprocal_of	reciprocal_of	not an RO property
http://purl.obolibrary.org/obo/omp#similar_in_magnitude_relative_to	similar_in_magnitude_relative_to	not an RO property
http://purl.obolibrary.org/obo/omp#singly_occurring_form_of	singly_occurring_form_of	not an RO property
http://purl.obolibrary.org/obo/omp#transcribed_from	transcribed_from	not an RO property
http://purl.obolibrary.org/obo/omp#transcribed_to	transcribed_to	not an RO property
http://purl.obolibrary.org/obo/omp#variant_of	variant_of	not an RO property
