IRI	Label	Issue
http://purl.obolibrary.org/obo/BSPO_0000096	anterior to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000097	distal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000098	dorsal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000099	posterior to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000100	proximal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000102	ventral to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000103	vicinity of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000104	approximately perpendicular to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000105	ipsilateral to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000106	contralateral to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000107	deep to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000108	superficial to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000110	left of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000111	right of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000113	opposite to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000114	lateral to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000115	x medial to y if x is closer to the midsagittal plane than y.	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000120	in left side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000121	in right side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000122	in posterior side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000123	in anterior side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000124	in proximal side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000125	in distal side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000126	in lateral side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001100	in superficial part of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001101	in deep part of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001106	proximalmost part of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001107	immediately deep to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001108	distalmost part of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001113	preaxialmost part of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001114	postaxial to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001115	postaxialmost part of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0005001	intersects midsagittal plane of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015001	finishes axis	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015002	follows axis	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015003	has axis	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015004	has end point	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015005	orthogonal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015006	passes through	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015007	starts axis	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015008	surface of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015009	immediately anterior to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015010	immediately distal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015011	immediately dorsal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015012	immediately posterior to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015013	immediately proximal to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015014	immediately superficial to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015015	immediately ventral to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015016	immediately left of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015017	immediately right of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015101	in dorsal side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015102	in ventral side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015201	oral to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015202	aboral to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0020001	in central side of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0020002	has start point	not an RO property
http://purl.obolibrary.org/obo/BSPO_1000000	preaxial to	not an RO property
http://purl.obolibrary.org/obo/bspo#parallel_to	parallel to	not an RO property
