IRI	Label	Issue
http://purl.obolibrary.org/obo/AISM_0000011	lateral_to	not an RO property
http://purl.obolibrary.org/obo/AISM_0000012	medial_to	not an RO property
http://purl.obolibrary.org/obo/AISM_0000078	encircles	not an RO property
http://purl.obolibrary.org/obo/AISM_0000079	encircled by	not an RO property
http://purl.obolibrary.org/obo/AISM_0000404	has_unit	not an RO property
http://purl.obolibrary.org/obo/AISM_0000519	encircles via conjunctiva	not an RO property
http://purl.obolibrary.org/obo/AISM_0000538	encircled via conjunctiva	not an RO property
http://purl.obolibrary.org/obo/AISM_0000398	has maximum value	not an RO property
http://purl.obolibrary.org/obo/AISM_0000399	has minimum value	not an RO property
http://purl.obolibrary.org/obo/AISM_0000400	has maximum value exclusive	not an RO property
http://purl.obolibrary.org/obo/AISM_0000401	has maximum value inclusive	not an RO property
http://purl.obolibrary.org/obo/AISM_0000402	has minimum value exclusive	not an RO property
http://purl.obolibrary.org/obo/AISM_0000403	has minimum value inclusive	not an RO property
