IRI	Label	Issue
http://purl.obolibrary.org/obo/TXPO_0000004	has core process	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000005	metafuntioning type of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000012	has molecular reaction	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000026	finding of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000039	component of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000043	located_in	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000069	has result	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000076	has cause	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000178	relation between a role and a process	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000530	manifested phenotype of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000531	manifests phenotype	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000615	inherit	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000683	has family member	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000716	dysfunctioning of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000750	molecular reaction of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000756	relateds assay	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000774	has context	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000819	has related human gene	not an RO property
http://purl.obolibrary.org/obo/TXPO_0000826	has attribute value	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001502	hyperfunction of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001518	malfunctioning of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001562	has related rat gene	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001733	has state	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001862	has attribute	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001868	has agent	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001870	metafunctioning type	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001871	property of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001872	attribute of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001873	has finding	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001887	context of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001893	related assay of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0001896	agent of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0002260	family of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0002523	has occurrent part	not an RO property
http://purl.obolibrary.org/obo/TXPO_0002524	has pathway	not an RO property
http://purl.obolibrary.org/obo/TXPO_0002525	pathway of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0003360	is entity in organism	not an RO property
http://purl.obolibrary.org/obo/TXPO_0003399	has dysfunctioning	not an RO property
http://purl.obolibrary.org/obo/TXPO_0003479	attribute value of	not an RO property
http://purl.obolibrary.org/obo/TXPO_0003500	observed in	not an RO property
http://purl.obolibrary.org/obo/TXPO_0003585	realizes disease	not an RO property
