Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	obo:bco_0000005	rdfs:subClassOf	obo:bco_0000006
ERROR	deprecated_class_reference	obo:bco_0000006	rdfs:subClassOf	obo:bco_0000005
ERROR	deprecated_class_reference	obo:bco_0000029	rdfs:subClassOf	obo:bco_0000030
ERROR	deprecated_class_reference	obo:bco_0000030	rdfs:subClassOf	obo:bco_0000029
ERROR	deprecated_class_reference	obo:bco_0000034	rdfs:subClassOf	obo:bco_0000042
ERROR	deprecated_class_reference	obo:bco_0000042	rdfs:subClassOf	obo:bco_0000034
WARN	missing_obsolete_label	BCO:0000068	rdfs:label	obsotlete is derived into by planned process@en
WARN	missing_obsolete_label	obo:bco_0000006	rdfs:label	obolete printed observational report@en
WARN	equivalent_pair	BCO:0000042	owl:equivalentClass	http://rs.tdwg.org/dwc/terms/Identification
WARN	annotation_whitespace	obo:bco_0000036	IAO:0000112	"A jar of water, the microbes that were filtered from that water, the DNA extracted from those microbes, a subsample of that DNA.
"
WARN	annotation_whitespace	obo:bco_0000044	IAO:0000112	An lizard observed in the field that is not collected but whose location is recorded in a field notebook. 
INFO	missing_superclass	BCO:0000047	rdfs:subClassOf	
